transaction_id,txn_date,settlement_date,txn_amount_inr,settled_amount_inr,txn_amount_paise,settled_amount_paise,settlement_count,delta_inr,delta_paise,gap_type,in_platform,in_bank,settlement_id,bank_reference,is_bank_duplicate,is_duplicate_by_ref,is_duplicate_amount_date,original_transaction_id
TXN-1006,2024-01-08,2024-01-10,12750.0,25500.0,1275000,2550000.0,2.0,12750.0,1275000.0,DUPLICATE,True,True,SET-2006|SET-2007,AXIS-7801|AXIS-7802,True,True,False,
TXN-1022,2024-01-30,2024-01-31,499.0,998.0,49900,99800.0,2.0,499.0,49900.0,DUPLICATE,True,True,SET-2022|SET-2023,HDFC-9008|HDFC-9009,True,True,False,
TXN-1048,2024-03-04,2024-03-05,2100.75,4201.5,210075,420150.0,2.0,2100.75,210075.0,DUPLICATE,True,True,SET-2048|SET-2049,KOTAK-5604|KOTAK-5605,True,True,False,
REF-1059,2024-03-18,,-126.96,,-12696,,,,,ORPHAN_REFUND,True,False,,,,,,
REF-1033,2024-02-13,,-303.81,,-30381,,,,,ORPHAN_REFUND,True,False,,,,,,
REF-1012,2024-01-16,,-243.59,,-24359,,,,,ORPHAN_REFUND,True,False,,,,,,
TXN-1038,2024-02-28,2024-03-03,12750.0,12750.0,1275000,1275000.0,1.0,0.0,0.0,DELAYED_SETTLEMENT,True,True,SET-2038,AXIS-7808,False,False,False,
TXN-1017,2024-01-28,2024-02-03,299.5,299.5,29950,29950.0,1.0,0.0,0.0,DELAYED_SETTLEMENT,True,True,SET-2017,KOTAK-5601,False,False,False,
TXN-1064,2024-03-28,2024-04-03,9875.0,9875.0,987500,987500.0,1.0,0.0,0.0,DELAYED_SETTLEMENT,True,True,SET-2064,HDFC-9022,False,False,False,
TXN-1045,2024-02-29,2024-03-02,22000.0,22000.0,2200000,2200000.0,1.0,0.005,0.0,CROSS_MONTH,True,True,SET-2045,AXIS-7810,False,False,False,
TXN-1023,2024-01-31,2024-02-02,1200.0,1200.0,120000,120000.0,1.0,0.0,0.0,CROSS_MONTH,True,True,SET-2024,ICICI-4505,False,False,False,
TXN-1068,2024-03-31,2024-04-02,299.5,299.5,29950,29950.0,1.0,0.0,0.0,CROSS_MONTH,True,True,SET-2068,HDFC-9024,False,False,False,
TXN-1024,2024-02-02,2024-02-04,3200.0,3200.0,320000,320000.0,1.0,0.005,0.0,ROUNDING_DIFF,True,True,SET-2025,SBI-3404,False,False,False,
TXN-1066,2024-03-28,2024-03-30,5600.0,5600.0,560000,560000.0,1.0,0.005,0.0,ROUNDING_DIFF,True,True,SET-2066,ICICI-4513,False,False,False,
TXN-1053,2024-03-11,,6750.0,,675000,,,,,UNSETTLED,True,False,,,,,,
TXN-1027,2024-02-06,,499.0,,49900,,,,,UNSETTLED,True,False,,,,,,
TXN-1074,2024-04-08,,12750.0,,1275000,,,,,UNSETTLED,True,False,,,,,,
